Date,Start_destination,End_destination,Am_timings,Midday_timings,Evening_timings,Mid_nigh_timings
2020-08-29,Sanchar Nagar MCECHS Layout,Mariyappana Palya,14,27,28,13
2021-02-28,Ramaswamipalya,Sampangi Rama Nagar,12,34,29,18
2020-05-16,Vignana Kendra,Pai Layout,20,38,26,16
2021-08-29,Tippenahalli,Old Airport Road,16,36,27,25
2020-05-26,Poorna Pragna Layout,Malleswaram West,20,40,25,20
2022-04-08,Mission Road,Amaravathi Layout-Peenya,15,29,27,10
2020-08-11,Kudlu,Reddypalya,15,29,26,23
2020-11-20,Srirampura,Mathrushree Layout,20,33,28,20
2020-10-08,Madhavan Park,Srinidhi Layout,19,32,26,18
2020-03-14,TC Palya,NR Colony,20,34,27,15
2020-07-16,Kempegowda Nagar,Subbaiyapalya,20,26,27,17
2022-01-13,Rukmani Colony,Koramangala,14,31,26,16
2021-03-10,Richmond Road,Andrahalli Main Road,19,35,28,17
2022-05-08,Attukal Layout,Off Hennur Road,16,30,29,30
2020-10-06,Neraluru,Madappanahalli,18,39,28,12
2020-05-15,Lalbagh Road,Samruddi Layout,18,33,26,16
2021-04-09,Manorayana Palya,Agara-HSR Layout,14,35,30,22
2022-01-19,Parimala Nagar,Suggatta,12,26,27,13
2020-06-05,HSR Layout,Maruti Nagar-BTM Layout,16,26,26,20
2021-08-06,Kothanur,T Dasarahalli,15,40,30,23
2020-07-16,Sadanandanagar,Medi Agrahara,15,36,28,10
2021-07-01,Tank Bund Road,Meenakshi Layout,13,33,29,19
2020-09-25,Sahakara Nagar,Kodigehalli,15,31,26,19
2020-03-28,Nagamuneshwara Layout,Kasavanahalli,13,37,28,20
2020-03-02,Kothanur,Subramanyapura,20,37,30,15
2021-08-04,Pura,Vijinapura,18,25,25,30
2022-04-22,Basapura,Laggere,18,32,29,24
2022-02-08,Kammanahalli,Sadahalli,14,27,28,14
2020-09-30,Reshme Nagara,Sadashiva Nagar,17,32,26,18
2021-02-03,Anjanapura 2nd block,Bommenahalli,19,36,28,12
2021-01-30,Poojena Agrahara,P and T Layout-Ramamurthy Nagar,18,38,26,29
2020-07-04,Muddamma Garden Extension,Maligondanahalli,16,30,28,29
2020-04-04,NICE Road,Langford Town,13,32,30,29
2021-02-27,Malle Nalsandra,Sudhama Nagar,15,32,25,19
2020-06-06,New BEL Road,Yarandahalli,19,25,26,25
2020-09-17,Kammanahalli,Vinayaka Nagar-Vimanapura,20,29,26,22
2022-03-29,Thirumalapura,Narayanaghatta,20,26,26,29
2022-01-21,Koramangala,Tavarekere-BTM,17,29,30,11
2020-04-23,Basaveshwara Nagar,Mariyappana Palya,16,29,25,16
2022-03-02,Akkipete,MLA Layout,12,26,29,22
2020-04-30,Mittaganahalli,Narasapura,15,25,27,26
2020-11-04,Amaravathi Layout-Peenya,Yarab Nagar,15,40,28,12
2021-07-20,Maruthi Extension,MCECHS Layout,17,28,27,14
2021-04-29,Madhavan Park,Atmananda Colony,17,33,29,27
2021-01-16,MC Layout,Rayasandra,17,32,28,12
2021-10-07,Mullur,Vishweshwaraiah Layout,12,37,30,30
2020-07-03,Manjunatha Layout,Ayappa Garden-Adugodi,19,36,30,29
2021-03-04,Raj Bhavan Road,Kamala Nagar,19,35,26,26
2021-08-22,KR Road,Choodasandra,12,35,25,27
2020-02-25,Thirumalapura,Pillahalli,17,32,26,14
2020-02-05,Varthur Road,Tapsihalli,13,33,29,17
2021-11-24,Mittaganahalli,Maruthi Nagar,15,36,27,28
2021-01-28,Off Sarjapur road,Sanjay Gandhi Nagar,17,38,26,28
2022-04-12,Palanahalli,Narasimhaswamy Layout,12,28,30,29
2020-11-01,Tannery Road,Saptagiri Layout-RR Nagar,18,39,29,27
2020-09-26,Kadugondanahalli,Koramangala 3rd Block,14,37,30,30
2022-02-24,Talaghattapura,Tavarekere-BTM Layout,18,40,25,14
2020-03-24,Nirman Layout,Marsandra-Anagalapura,17,37,25,12
2020-03-15,Nagareshwara-Nagenahalli,Prashant Nagar,14,29,29,27
2021-07-13,Sundara Nagar,Malle Nalsandra,16,38,25,20
2020-04-30,Sampigehalli,S.Bingipura,20,25,29,30
2022-05-07,Kumara Park West,MLA Layout,13,36,26,15
2021-04-12,Santhosh Nagar,Vinayakanagar-Hebbal,19,31,26,21
2020-03-23,Andrahalli Main Road,JP Nagar,13,25,26,26
2020-06-30,Narayanapura,Vagata,17,39,28,22
2020-08-15,S K Garden,Frazer Town,15,38,25,13
2020-06-16,Achit Nagar,Peenya 1st Stage,17,30,25,11
2020-07-18,Outer Ring Road,Sunny Layout,16,31,27,13
2021-05-03,Hoskote,Narasipura Layout,15,27,29,17
2020-03-01,Babusa Palya,Lakkenahalli,18,30,27,19
2021-02-01,lal bagh,Wilson Garden,14,32,25,24
2021-11-07,Yarab Nagar,Ambalipura Sarjapur Road,14,30,28,13
2021-06-20,Thathaguni,Belatur,19,37,25,25
2021-08-13,Ashta Laxmi Layout,Off Bannerghatta Road,12,34,29,28
2021-02-20,Telecom Layout,Narayana Nagar 3rd Block,19,40,28,15
2020-08-04,Victoria Layout,JP Nagar,18,28,29,28
2020-06-06,Meenakshi Layout,AGS Layout,19,39,28,20
2021-11-20,Kattigenahalli,Vijaya Bank Colony,18,40,28,12
2021-01-20,Belatur,Sai Colony,18,40,25,24
2021-08-25,Thirumalapura,Thambuchetty Palya,15,25,27,24
2021-02-05,Nobo Nagar,Yekadantha Layout,13,40,27,11
2021-03-15,Off Hennur Road,Off Bannerghatta Road,18,34,26,19
2021-09-20,Hennur,Venkatala,15,38,28,28
2021-01-27,Ramohalli,Munireddypalya,18,32,26,19
2020-08-08,Bannerghatta Road,Mallasandra,12,30,26,22
2021-08-30,Off Bannerghatta Road,Reshme Nagara,18,39,30,22
2021-12-16,Thyagaraja Nagar,Nagashetty Halli,20,36,26,20
2020-11-06,Kumbena Agrahara,Sanjay Nagar,18,35,29,20
2020-10-10,Old Madras Road,Punappa Layout,17,39,28,14
2021-12-11,Krishnasagara,Vivekananda Nagar,13,35,28,17
2022-02-06,Rajajinagar 2nd Stage,Old Byappanahalli,20,39,27,16
2021-06-05,Koramangala,Tataguni,17,32,26,14
2022-03-18,New BEL Road,Kurubarahalli,16,39,30,13
2021-10-25,Vinayakanagar-Hebbal,Hesaraghatta,20,36,25,18
2020-09-19,Nisarga Nandana Layout,Mittaganahalli,16,32,25,23
2020-07-16,Suggatta,S.Medihalli,20,32,26,15
2021-11-27,Koramangala 7th Block,Kamala Nagar,17,25,26,21
2021-07-18,Basavanagudi,Mathikere,20,34,30,25
2020-03-07,Yadava Upanagara,Nisarga Nandana Layout,17,36,28,12
2020-02-12,Lavelle Road,Magadi Road,19,39,29,24
2021-11-20,Murugesh Palya,Agrahara Badavane,18,38,27,22
2021-01-03,Victoria Layout,Srinivaspur,14,35,27,19
2021-10-27,Nagarabhavi 2nd Stage,Maruthi Extension,18,39,27,20
2022-01-13,Yelachenahalli,Muneswara Nagar,20,40,27,20
2021-01-17,Mudalapalya,Agrahara-Yelahanka,14,25,26,11
2020-10-22,Sarjapur Road,Lakshminarayana Pura,18,34,28,19
2021-10-25,Taralu,Outer Ring Road-Banaswadi,12,40,28,30
2020-08-25,Wind Tunnel Road,Vignana Nagar,17,36,29,16
2021-08-22,Ashraya Layout,AECS Layout – B Block,18,30,25,27
2020-11-25,Akshaya Nagar-Ramamurthy Nagar,Nelakadiranahalli,13,30,26,20
2020-07-16,Ramsandra,Vimanapura,14,37,28,21
2021-06-19,Mylanahalli,Bennigana Halli,14,29,28,24
2021-12-13,Vajarahalli,Vinayakanagar-Hebbal,13,33,26,11
2021-11-11,Jakkur,P and T Layout-Ramamurthy Nagar,17,35,25,18
2021-11-01,Navarathna Agrahara,Nagondanahalli,12,37,29,15
2021-01-13,Kalkere,Munireddypalya,17,36,30,26
2022-05-15,Munnekollal,Bilekahalli,18,34,28,17
2021-09-26,Nisarga Nandana Layout,B Narayanapura,20,38,27,13
2020-02-24,Parimala Nagar,Yelanahalli,13,39,26,26
2022-01-19,Thanisandra Main Road,ACL Layout,18,36,25,22
2020-02-28,Rajajinagar 2nd Stage,Srinidhi Layout,14,40,26,22
2022-03-12,Kadubeesanahalli,Kothanur,20,33,30,20
2021-09-11,Annapurneshwari Nagar,Ravuthanahalli,15,34,25,11
2021-03-28,AMCO Colony,Alur,18,32,30,12
2022-04-11,Sulivara,Basapura,13,26,28,23
2021-01-07,RPC Layout,Manjunatha Layout,16,26,26,16
2022-01-18,Gottigere,MS Palya,13,30,28,18
2020-07-27,Mathrushree Layout,Bommasandra,20,37,25,11
2022-03-05,NR Colony,Anjanapura 7th Block,17,37,25,20
2021-09-19,Off Hennur Road,Thimaiah Garden,13,27,26,17
2020-12-08,Manganahalli,Koramangala 8th Block,13,27,26,17
2021-03-20,Kurubara Gollahalli,Puttenahalli,12,29,27,26
2022-01-15,Doddanekkundi,Kasavanahalli,12,28,29,13
2020-04-17,Nanjapura,Frazer Town,14,36,30,15
2021-06-29,Srinivaspur,Tharaballi,12,36,30,17
2020-07-09,Thigala Chowdadenahalli,Meenakshi Layout,15,36,25,13
2020-04-03,Mathikere,Belatur,19,31,28,18
2021-11-27,NGEF Layout,Domlur,15,38,29,25
2021-09-13,Malleshwaram,Madanayakahalli,12,33,28,18
2022-05-24,Bennigana Halli,Nandini Layout,13,40,27,10
2021-07-01,Hennur Road,Sadenahalli,12,30,27,30
2021-03-05,Kalena Agrahara,Bidadi,14,37,28,18
2020-02-23,Lakshminarayanapuram,Ashta Laxmi Layout,20,37,28,14
2020-10-19,Sulikere,Ranka Colony,16,34,30,23
2021-07-14,Koramangala 4th Block,Thindlu,18,38,28,24
2022-05-17,Talacauvery Layout,Varthur,16,33,25,25
2021-05-10,Thyagaraja Nagar,Amrutahalli-Byatarayanapura,14,36,29,12
2020-11-16,Thindlu,Kaggadasapura,17,40,28,30
2021-10-05,Mittaganahalli,Ramaswamipalya,13,30,27,21
2021-12-25,Nanda Kumar Layout,Naidu Layout,19,33,27,24
2021-01-02,Kyalasanahalli,Yelachenahalli,16,26,27,24
2021-03-10,Ullalu Upanagara,Alfa Gardens,12,30,30,10
2020-09-24,Nagarathpete,Mathrushree Layout,16,35,30,19
2021-04-11,Palace Road,Parappana Agrahara,18,27,30,20
2021-01-01,Sarjapur Road,Tavarekere-BTM,14,30,27,24
2021-05-02,Rameshnagar,St. Johns Road,17,28,25,16
2021-07-08,MG Road,Sankey Road,20,38,25,28
2021-03-17,Vidyaranyapura,JP Nagar,19,35,27,13
2020-03-18,Anjanapura,Thindlu,13,34,25,24
2021-08-04,A Narayanapura,Vidyaranyapura,20,34,30,12
2021-03-21,Anagalapura,Thyamagondlu,18,30,27,26
2020-06-18,Reshme Nagara,Sulivara,12,36,25,18
2020-10-26,Pulikeshi Nagar,Royal County,14,30,28,27
2020-09-09,Mudalapalya,Vidhana Soudha,20,34,29,24
2022-03-29,B Narayanapura,Ragihalli,14,31,25,22
2020-02-09,Syndicate Bank Colony-Arekere,Malagala,18,35,29,10
2021-11-18,Off Hennur Road,Parappana Agrahara,16,37,25,16
2021-09-13,Medaralli,Papareddipalya,20,30,25,29
2022-04-30,Sankey Road,Hennur Road,18,35,30,27
2022-04-13,Totagere,Laggere,18,26,25,30
2020-02-22,Rotary Nagar,Krishnappa Garden,20,30,30,26
2020-12-10,Nandini Layout,Vidyanagar,16,25,25,26
2021-02-12,lal bagh,Mullur,13,25,26,29
2020-10-25,Ashraya Layout,Nagashetty Halli,13,30,30,28
2022-02-14,Talaghattapura,Vyalikaval,16,39,29,27
2022-04-12,Mukthi Nagar,Yettakodi,16,35,26,24
2020-04-22,Nisarga Nandana Layout,NRI Layout,14,26,26,21
2020-07-13,Sadanandanagar,RKM Layout,14,40,27,16
2020-08-19,Vishweshwaraiah Layout,Bennigana Halli,12,38,25,16
2022-02-01,Cox Town,Ramchandrapuram,19,27,30,10
2020-02-24,Sundara Nagar,Kothanur,20,37,29,28
2020-12-08,Vabasandra,Nelamangala,20,27,29,16
2020-06-03,Venkateshpuram,Sakalavara,18,37,25,13
2020-11-07,Anekal Thally Road,CV Raman Nagar,16,29,25,27
2022-05-20,Poorna Pragna Layout,Muneswara Nagar,15,28,29,26
2021-04-05,Ramamurthy Nagar,Nanjappa Garden,17,25,26,18
2020-08-09,Nyanappana Halli,Outer Ring Road,18,32,26,26
2021-05-06,Varanasi Main Road,Valepura,16,30,27,20
2021-08-18,Venkatadri Layout,Vishwanathpura,13,36,28,24
2020-02-01,BTM Layout,Attukal Layout,15,26,30,18
2021-03-23,St. Johns Road,Sanjay Nagar,17,36,25,18
2020-05-17,Nagarabhavi 2nd Stage,Ejipura,16,26,25,19
2020-11-18,RMV,S.Bingipura,16,31,28,22
2021-06-25,Hoodi,Riches Garden Main Road,15,35,28,22
2021-08-22,Patel Narayanswamy Layout,Anand Nagar,18,36,25,10
2022-05-23,Nayanda Halli,Virupakshapura,20,26,27,25
2020-04-22,Vinayaka Layout,Muthusandra,15,37,26,10
2022-02-17,Harlur,Ullal,18,31,28,25
2021-04-04,ACL Layout,Doddanekkundi,20,35,25,14
2020-05-27,Talaghattapura,Koramangala 3rd Block,19,38,27,24
2021-08-15,Madhavan Park,Muthanallur,13,29,25,16
2021-04-05,Thimaiah Garden,Kushal Nagar,13,35,25,29
2020-12-07,Kamala Nagar,Anagalapura,16,28,25,23
2021-03-30,Muneswara Nagar,Yarab Nagar,13,34,27,24
2022-02-28,Minerva Circle,Adde Vishwanathapura,20,38,29,19
2022-05-16,Arasanakunte,Saptagiri Layout-RR Nagar,17,30,25,21
2020-02-08,Thotada Guddadhalli,Neeladri Investment Layout,14,38,27,12
2020-12-21,Narayanapura,Sunny Layout,13,40,29,16
2020-11-12,Old Byappanahalli,Thavarekere-Magadi Road,20,29,30,21
2020-02-01,Sunkalpalya,Tavarekere-BTM,18,30,26,29
2021-09-02,HBR Layout,Off Bannerghatta Road,12,40,29,18
2020-09-06,Aduru-Aavalahalli,Neeladri Investment Layout,16,31,25,22
2020-05-13,Vaderahalli,Tumkur Road,12,31,29,16
2020-05-21,Mavallipura,Nagashetty Halli,18,31,30,10
2020-04-28,Alur,Ramsandra,15,39,25,25
2021-11-07,Lakkasandra Extension,Samethanahalli,13,33,29,19
2021-08-06,Kumara Park West,Viswaneedam,12,38,27,27
2021-02-09,Thanisandra Road,Varthur Kodi,20,39,29,27
2021-10-10,Guttahalli,HSR Layout,20,28,26,30
2020-09-24,Arabic College,Langford Gardens,15,38,26,15
2021-01-20,Ambedkar Layout,Royal County,17,27,27,20
2022-05-06,Malleshwaram,Hombegowda Nagar,19,39,30,11
2021-12-27,Lottegollahalli,Vaddarapalya,15,31,27,23
2021-12-04,Kengeri,Aduru-Anekal,18,37,27,29
2021-01-05,Pramod Layout,MCECHS Layout,19,33,25,10
2021-11-14,Kasavanahalli,Veersandra,13,34,26,19
2020-12-14,Puttenahalli,Varthur Kodi,18,36,27,17
2021-01-22,Off Hennur Road,Nelaguli,17,28,27,22
2020-11-26,Horamavu,New Thippasan,12,35,30,28
2020-02-15,Bagalakunte,Arasanahalli,19,26,28,27
2021-05-07,Venkatadri Layout,Basavanagudi,18,32,27,13
2021-01-25,Ullal Main Road,Mico Layout,13,25,27,16
2021-02-14,MEI Colony,Koramangala 2nd Block,18,31,28,18
2020-05-28,Nethaji Layout,Kanakapura Road,17,29,29,14
2022-03-23,Prashant Nagar,Virgonagar,17,32,29,14
2020-12-05,Roopena Agrahara,Akshayanagar,14,38,27,10
2020-09-06,Nagarabhavi Main Road,Langford Gardens,19,30,26,15
2022-01-23,Narasimhaswamy Layout,Madavara,16,37,30,14
2021-01-19,Outer Ring Road-Banaswadi,Mookambika Nagar,14,26,26,28
2021-12-27,Thanisandra,Frazer Town,18,37,27,11
2022-04-12,Samruddi Layout,Maragondanahalli-Electronic City,12,38,30,21
2020-12-25,Nandini Layout,Chikbanavara,16,32,29,26
2020-08-07,Manorayana Palya,Bommasandra,14,32,25,23
2020-08-31,Panathur,Suddaguntapalya-CV Raman Nagar,17,39,30,19
2021-05-17,Whitefield Road,Viveka Nagar,18,28,25,16
2020-07-12,State Bank of India Colony,Yarab Nagar,17,29,26,30
2020-12-28,Muddinapalya,Vasanth Nagar,18,26,26,16
2021-06-24,Koramangala 5th Block,Lakkondally,20,37,28,13
2020-10-28,Nellukunte,Yettakodi,12,31,26,15
2022-02-27,Patel Narayanswamy Layout,Malleshwaram,15,27,25,11
2021-07-22,Varanasi,Kushal Nagar,19,35,26,23
2022-03-02,Kodihalli,Medimallasandra,17,40,29,21
2021-08-31,New Gurappana Palya,Rajiv Gandhi Nagar,13,25,30,23
2021-06-14,PNB Layout,Old Madras Road,14,33,29,26
2021-09-05,Kengeri,Hennur,20,32,28,19
2021-03-27,Vasanthapura Main Road,Koramangala 2nd Block,16,33,25,17
2020-12-01,HSR Layout,Vinayakanagar-Hebbal,15,32,29,30
2022-02-05,Nimbekaipura,MEI Colony,16,31,28,16
2022-03-04,Poojena Agrahara,Sadaramangala,18,35,30,13
2020-03-05,Raghavendra Colony,Palace Road,18,35,25,10
2021-01-20,Muddenahalli,Basapura,16,25,28,12
2021-07-29,Old Airport Road,Ayyappa Nagar,16,30,29,24
2021-12-04,Sulikere,Kaval Byrasandra,19,29,25,28
2021-02-23,Nagareshwara-Nagenahalli,AECS Layout – B Block,13,35,25,22
2020-09-10,S K Garden,S K Garden,17,32,27,29
2021-10-08,Venkatagiri Kote,Muneswara Nagar,16,32,30,21
2022-01-17,Thyamagondlu,Atmananda Colony,15,35,30,20
2020-02-27,Naraganahalli,Suddagunte Palya,14,34,27,26
2021-02-12,Sunny Layout,Mittaganahalli,17,40,29,14
2021-01-28,NGEF Layout,Attur Layout,13,27,27,14
2020-11-29,RBI East Layout,Mysore Road,19,27,25,26
2020-11-12,Bapuji Nagar,AECS Layout – B Block,19,32,29,19
2021-02-24,Devarachikkanahalli,Nagamangala,17,30,27,13
2021-07-13,Ramagondanahalli,R V Niketan,19,25,29,19
2020-04-06,Ramsandra,Adugodi,12,31,28,19
2020-08-28,Richard’s Park,Arkavathy Layout,18,29,26,22
2022-02-04,Rajiv Gandhi Nagar,Hombegowda Nagar,16,28,30,27
2020-05-05,Nelamangala – Chikkaballapura Road,Vijayapura,16,30,26,23
2020-08-28,Raghavendra Colony,Kurudusonnenahalli,17,34,27,10
2020-12-27,Om Shakti Layout,Rayasandra,16,32,26,18
2020-07-30,Thattekuppe,Hoodi,19,34,28,29
2020-08-18,Jalahalli West,Sadahalli,17,35,27,24
2021-09-06,Srinivaspura,Lakshmamma Layout,13,34,27,24
2021-01-27,Bachappa Layout,Mathrushree Layout,12,37,26,19
2020-12-21,Lakkasandra Extension,Rameshnagar,13,26,25,13
2022-01-07,Majestic,Matadahalli,20,37,25,16
2021-11-08,Kadugondanahalli,Bellahalli,19,32,25,16
2022-04-07,Nagondanahalli,Yelahanka Airforce Road,17,27,30,12
2020-12-26,Yerthiganahalli,Avenue Road,12,26,27,15
2020-09-10,Vijayashri Layout,Yekadantha Layout,12,25,25,22
2021-12-26,Lavelle Road,Annasandrapalya Extension,12,31,28,14
2020-10-17,Sanjay Nagar,Remco Layout,14,28,25,26
2021-12-19,Agara-HSR Layout,Domlur,15,37,27,12
2020-12-18,Talacauvery Layout,Sulikere,20,37,30,20
2020-02-03,Udaya Nagar,Kurubara Gollahalli,17,40,29,10
2020-11-12,Thondebavi,Marathahalli-Sarjapur Outer Ring Road,12,27,30,19
2020-08-25,Vidyaranyapura,Muneswara Nagar,14,31,26,20
2021-01-06,Sadashiva Nagar,Kurudusonnenahalli,18,36,29,28
2021-08-12,Ambalipura Sarjapur Road,Viswaneedam,14,28,30,26
2020-08-10,Attiguppe,Yeshwanthpur,13,34,28,11
2020-03-13,RKM Layout,P and T Layout-Ramamurthy Nagar,14,32,28,17
2020-07-17,Mosque Road,Horamavu,14,27,27,21
2021-12-03,Koramangala 3rd Block,Bellandur Outer Ring Road,16,31,28,23
2020-06-19,Vaddarapalya,Sadanandanagar,20,36,29,16
2022-03-04,Babusa Palya,Venkateshpuram,13,40,29,27
2022-04-15,Saptagiri Layout-RR Nagar,Rajaji Nagar 1st Stage,17,39,29,15
2022-03-20,Nyanappana Halli,Kanakapura Road,19,30,29,16
2022-05-03,Thurahalli,St Thomas Town,13,38,26,27
